file,APPS/FIN/SNS,BUG_TYPE,FLAME,JOURNAL/SHORTCUT/CALENDAR,LOG/SYSTEM,VENDORS
Analytics-2025-06-02-072604.ips.ca.synced,0,11,2,0,3,0
My-Viettel-App-MDM.pdf,1,0,0,0,0,0
SiriSearchFeedback-2025-06-02-125059.ips,0,1,0,0,0,0
____________.csv,0,0,0,0,0,2
_____________csv__preview_.csv,0,0,0,0,0,2
viettel.der,0,0,0,0,0,10
viettel.zip,0,0,0,0,0,2
viettel_bundle_analysis_report.txt,0,0,0,0,0,3
xp_amp_app_usage_dnu-2025-06-02-123949.ips,14,1,191,1,0,3
