t1,file1,cat1,t2,file2,cat2,delta_sec,score
2025-08-26T19:23:27.817776+07:00,____________.csv,VENDORS,2025-08-26T19:23:27.817776+07:00,____________.csv,VENDORS,0,3
2025-08-26T19:23:27.817776+07:00,____________.csv,VENDORS,2025-08-26T19:23:27.817776+07:00,_____________csv__preview_.csv,VENDORS,0,3
2025-08-26T19:23:27.817776+07:00,____________.csv,VENDORS,2025-08-26T19:23:27.817776+07:00,_____________csv__preview_.csv,VENDORS,0,3
2025-08-26T19:23:27.817776+07:00,____________.csv,VENDORS,2025-08-26T19:23:27.817776+07:00,_____________csv__preview_.csv,VENDORS,0,3
2025-08-26T19:23:27.817776+07:00,____________.csv,VENDORS,2025-08-26T19:23:27.817776+07:00,_____________csv__preview_.csv,VENDORS,0,3
2025-08-26T19:23:27.817776+07:00,_____________csv__preview_.csv,VENDORS,2025-08-26T19:23:27.817776+07:00,_____________csv__preview_.csv,VENDORS,0,3
